Apple & Blackberry Crumble,A,1,Classic British dessert in smoothie form! Best of all? We keep the crunch. Get in.,delicious with milk or low fat Greek yoghurt,"Our take on a classic British pud. Sweetness from perfectly ripe red and green apples, then blackberries (naturally rammed full of nutrients), finished with a dash of cinnamon. We clip on a small packet of our homemade high-protein, low sugar granola which you can add after blitzing for a crumbly crunch! Scrummy...","We experimented loads (and loads and loads) to get the apple to blackerry ratio just right. And yes, we nailed it.",Apples are super high in fibre. Great for gut health and can help prevent development of disease,Blackberries are very high in nutrients including polyphenols - antioxidants known for cancer fighing abilities,,"Jayne has it every morning for a healthy breakfast. She blends it at home, takes the cup with her and has it at her desk.","“Apples, Spinach, Blackberries, Protein Balls, Granola, Vanilla Protein Balls, Raisins, Chia, Spirulina, Walnuts, Cinnamon”",Spirulina,503.1,119.6,4.6,0.8,11.7,7.4,2.0,7.1,0.0,green apple slices,red apple slices,blackberries,cinnamon,walnuts,spinach,milled chia seeds,granola,Protein Balls,Vanilla Protein Balls,raisins,,,granola,vanilla protein balls,,healthy_meal,energy_boost,breakfast,,Apple_Blackberry_Crumble_Tailored.jpg,Apple_Blackberry_Crumble_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peachy Mangos,A,2,Perfectly ripe peaches blitzed together with juicy mangos. Peachy.,ice-cold soya milk or skimmed milk,We take peaches picked just at the right time and speed-frozen to lock in flavour and nutrients and combine with mango for deliciousness. We add our frozen spinach balls for added goodness plus hazelnuts for their monounsaturated good fats.,,Mangos are high in potassium which helps maintain acid balance in the body,"Peaches are high in vitamin C and iron, essential for red blood-cell production",,,"“Mangoes, Peaches, Spinach, Muesli, Protein Balls, Vanilla Protein Balls, Hazelnuts, Flaxseed, Spirulina""",Spirulina,503.8,119.1,3.6,0.6,15.2,8.8,1.8,6.9,0.0,peach,mango chunks,,,hazelnuts,spinach,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,healthy_meal,energy_boost,breakfast,,Peachy_Mangos_Tailored.jpg,Peachy_Mangos_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushed Cherries,A,3,Cherries plus a few slices of banana. Crushed.,anything really!,"Cherries are not only delicious, they are a potent source of antioxidants and anti-inflammatory compounds which are great for your body. We use beautiful deep-red cherries and add banana to complement the flavour.",,Cherries are a rare natural source of hormone melatonin which can increase your sleep quality,The anti-inflammatory compounds in cherries can help protect your joints.,,,"“Cherries, Banana, Protein Balls, Sweetcorn, Muesli, Peanuts, Flaxseed, Barleygrass, Vanilla Protein Balls”",Barleygrass,352.7,83.6,1.6,0.2,12.4,5.7,3.2,4.2,0.0,cherries,chopped banana,,,peanuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,,,,,muesli,,,fibre,healthy_meal,superfood,,Crushed_Cherries_Tailored.jpg,Crushed_Cherries_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Bomb,A,4,Q: How many berry types does it take to make a uber-delicious smoothie?   A: 7,anything really!,"Our Berry Bomb is a potent weapon. So tasty it will blow away your taste buds. We take lingonberries from Swedish forests then mix with strawberries, cranberries, blueberries, blackberries, raspberries, goji berries, acai berries. Exploding with nutrients to keep you feeling (and looking awesome)!","Yoggie founder Charlie's favourite. ""Lingonberries are so good for you and were my favourite food as a child. I'm half-Swedish and used to pick them in Swedish forests with my Grandmother. We source our lingonberries directly from Sweden and they make this smoothie taste extra special...""",Berries have the highest concentration of goodness among fruits.,"The superfoods in this smoothie mix are known to help brain function, hormone balance and energy levels",,,"“Bananas, Sweetcorn, Protein Balls, Muesli, Strawberries, Blueberries, Cranberries, Raspberries, Blackberries, Vanilla Protein Balls, Flaxseed, Goji berries, Acai, Walnuts”",Acai berries,505.7,119.8,3.8,1.1,15.1,8.4,2.7,6.5,0.0,strawberries,cranberries,raspberries,blueberries,blackberries,chopped banana,dried goji berries,walnuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,muesli,vanilla protein balls,,healthy_meal,superfood,breakfast,,Berry_Bomb_Tailored.jpg,Berry_Bomb_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Split,A,5,"Banana, strawberries plus a few special titbits for extra gorgeousness",anything really!,"We start this off with fairtrade bananas and organic strawberries. We then add wheatgrass for lots of antioxidants, milled organic flaxspeed for loads of Omaga 3, rye flakes for some texture then our Yoggie Protein Balls for the perfect protein, carb and fat balance. Bananas.",,Bananas are crammed with potassium which lowers blood pressure and protects your heart,High fibre levels in banana and rye can promote feelings of fulness and lower your appetite,,,"“Strawberries, Bananas, Protein Balls, Spinach, Muesli, Peanuts, Flaxseed, Greens powder, Vanilla Protein Balls”",SuperGreens,383.6,90.7,1.7,0.3,13.9,7.2,4.7,4.4,0.0,chopped banana,strawberries,,,peanuts,spinach,milled flaxseeds,muesli,Protein Balls,,,,,muesli,SuperGreens,,fibre,healthy_meal,energy_boost,breakfast,Banana_Split_Tailored.jpg,Banana_Split_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry,A,6,Turbo tasty strawberry smoothie. 'Nuff said.,anything really!,"We take beautiful organic strawberries  throw in chopped fairtrade banana, a sprig of mint, crushed sunflower seeds, natural Protein Balls, acai berries, cashews for good fats, a dash of homemade muesli and a teeny bit of chopped carrots. Mind-blowingly scrumptious and supercharged with nutrients. You're welcome.","Rachael is one of our nutritionists and this is her favourite. She whizzes it up in the morning and sits on the tube drinking it with one hand, scrolling through Instagram with the other…",Strawberries are full of anthocyanins which gives them their red colour. Anthocyanins are linked with increased longevity and heart health.,Carrots are excellent sources of beta carotene which helps protect your eyes and vision,,,"“Strawberries, Bananas, Carrots, Muesli, Protein Balls, Vanilla Protein Balls, Cashew nuts, Sunflower seeds, Acai""",Acai berries,531.4,125.9,4.3,1.3,16.4,9.3,3.5,6.4,0.0,strawberries,chopped banana,mint leaves,,cashew nuts,carrots,sunflower seeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,healthy_meal,superfood,breakfast,,Strawberry_Tailored.jpg,Strawberry_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwi & Mango with Raisins,A,7,"Delicious, ripe kiwi slices with mango chunks and sprinkling of raisins",anything really!,Zingy kiwi slices bashed together with chunky mango bits are an incredible taste combo and source of fibre and vitamin C to boost your immune system,,Kiwi fruits are rammed with antioxidants which help your body fight everyday toxins and keep you feeling tip top,Raisins are a soure of iron and vitamin B which protect against anemia,,,"“Mangoes, Kiwi fruit, Spinach, Protein Balls, Oats, Vanilla Protein Balls, Walnuts, Chia, Greens powder, Raisins”",SuperGreens,506.3,120.1,3.7,0.6,14.4,8.3,1.7,6.8,0.0,kiwi slices,mango chunks,raisins,,walnuts,spinach,milled chia seeds,oats,Protein Balls,Vanilla Protein Balls,,,,vanilla protein balls,SuperGreens,,healthy_meal,superfood,breakfast,,Kiwi_Mango_with_Raisins_Tailored.jpg,Kiwi_Mango_with_Raisins_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple & Blackberry Crumble,B,1.0,Classic British dessert in smoothie form! Best of all? You keep the crunch. Get in.,delicious with milk or low fat Greek yoghurt,"Our take on a classic British pud. Sweetness from perfectly ripe red and green apples, then blackberries (naturally rammed full of nutrients), finished with a dash of cinnamon. We clip on a small packet of our homemade high-protein, low sugar granola which you can add after blitzing for a crumbly crunch! Scrummy...","We experimented loads (and loads and loads) to get the apple to blackerry ratio just right. And yes, we nailed it.",Apples are super high in fibre. Great for gut health and can help prevent development of disease,Blackberries are very high in nutrients including polyphenols - antioxidants known for cancer fighing abilities,,,"“Apples, Spinach, Blackberries, Vanilla Protein Balls, Granola, Raisins, Walnuts, Chia, Spirulina, Cinnamon”",Spirulina,598.7,142.7,5.2,0.7,11.4,6.9,2.0,11.9,0.0,green apple slices,red apple slices,blackberries,cinnamon,walnuts,spinach,milled chia seeds,granola,,Vanilla Protein Balls,,,,granola,vanilla protein balls,,lo_carb,healthy_meal,energy_boost,,Apple_Blackberry_Crumble_Tailored.jpg,Apple_Blackberry_Crumble_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry,B,2.0,Turbo tasty strawberry smoothie. 'Nuff said.,anything really!,"We take beautiful organic strawberries & throw in chopped fairtrade banana, a sprig of mint, crushed sunflower seeds, natural Protein Balls, acai berries, cashews for good fats, a dash of homemade muesli and a teeny bit of chopped carrots. Mind-blowingly scrumptious and supercharged with nutrients. You're welcome.","Rachael is one of our nutritionists and this is her favourite. She whizzes it up in the morning and sits on the tube drinking it with one hand, scrolling through Instagram with the other…",Strawberries are full of anthocyanins which gives them their red colour. Anthocyanins are linked with increased longevity and heart health.,Carrots are excellent sources of beta carotene which helps protect your eyes and vision,,,"“Strawberries, Bananas, Carrots, Protein Balls, Vanilla Protein Balls, Muesli, Cashew nuts, Sunflower seeds, Acai""",Acai berries,598.7,142.7,5.2,0.7,11.4,6.9,2.0,11.9,0.0,strawberries,chopped banana,mint leaves,,cashew nuts,carrots,sunflower seeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,healthy_meal,superfood,breakfast,,Strawberry_Tailored.jpg,Strawberry_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peachy Mangos,B,3.0,Perfectly ripe peaches blitzed together with juicy mangos. Peachy.,ice-cold soya milk or skimmed milk,We take peaches picked just at the right time and speed-frozen to lock in flavour and nutrients and combine with mango for deliciousness. We add our frozen spinach balls for added goodness plus hazelnuts for their monounsaturated good fats.,,Mangos are high in potassium which helps maintain acid balance in the body,"Peaches are high in vitamin C and iron, essential for red blood-cell production",,,"“Mangoes, Peaches, Spinach, Muesli, Vanilla Protein Balls, Protein Balls, Flaxseed, Spirulina, Hazelnuts”",Spirulina,489.0,115.4,2.8,0.7,14.0,8.2,1.6,9.0,0.0,peach,mango chunks,,,hazelnuts,spinach,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,healthy_meal,energy_boost,breakfast,,Peachy_Mangos_Tailored.jpg,Peachy_Mangos_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushed Cherries,B,4.0,Cherries plus a few slices of banana. Crushed.,anything really!,"Cherries are not only delicious, they are a potent source of antioxidants and anti-inflammatory compounds which are great for your body. We use beautiful deep-red cherries and add banana to complement the flavour.",,Cherries are a rare natural source of hormone melatonin which can increase your sleep quality,The anti-inflammatory compounds in cherries can help protect your joints,,,"“Cherries, Banana, Sweetcorn, Protein Balls, Muesli, Peanuts, Vanilla Protein Balls, Flaxseed, Barleygrass""",Barleygrass,381.2,90.5,1.8,0.4,11.0,5.9,3.7,6.5,0.1,cherries,chopped banana,,,peanuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,,fibre,healthy_meal,superfood,,Crushed_Cherries_Tailored.jpg,Crushed_Cherries_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Bomb,B,5.0,Q: How many berry types does it take to make a uber-delicious smoothie?   A: 7,anything really!,"Our Berry Bomb is a potent weapon. So tasty it will blow away your taste buds. We take lingonberries from Swedish forests then mix with strawberries, cranberries, blueberries, blackberries, raspberries, goji berries, acai berries. Exploding with nutrients to keep you feeling (and looking awesome)!","Yoggie founder Charlie's favourite. ""Lingonberries are so good for you and my favourite food as a child. I'm half-Swedish and used to pick them in Swedish forests with my Grandmother. We source our lingonberries directly from Sweden and they make this smoothie extra special...""",Berries have the highest concentration of goodness among fruits.,"The superfoods in this smoothie mix are known to help brain function, hormone balance and energy levels",,,"""Bananas, Sweetcorn, Vanilla Protein Balls, Muesli, Strawberries, Blueberries, Cranberries, Raspberries, Blackberries, Protein Balls, Flaxseed, Goji berries, Acai, Walnuts”",Acai berries,599.5,142.0,4.1,1.5,15.4,8.7,2.6,11.0,0.0,strawberries,cranberries,raspberries,blueberries,blackberries,chopped banana,dried goji berries,walnuts,sweetcorn,milled flaxseeds,muesli,Protein Balls,Vanilla Protein Balls,muesli,vanilla protein balls,,healthy_meal,superfood,breakfast,,Berry_Bomb_Tailored.jpg,Berry_Bomb_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical Fruit,B,6.0,"Pineapple, mango, kiwi, coconut chunks and a squeeze of lime. Perfect.",gorgeous with a dollop of authentic Greek yoghurt,Boost your energy levels with this succulent combination of coconut chunks and kiwi slices with just the right amount of pineapple and mango to balance the taste. ,,Coconut is full of fibre which keeps you feeling full and can lower cholestrol levels,"Pineapple and kiwi are high in magnesium, selenium and potassium which can help with skin health",,,"“Mangoes, Pineapple, Kiwi fruit, Spinach, Oats, Vanilla Protein Balls, Protein Balls, Coconut, Peanuts, Flaxseed, Barleygrass""",Barleygrass,547.0,130.0,3.9,2.1,12.9,7.0,3.8,9.3,0.1,mango chunks,pineapple,kiwi slices,raw coconut chunks,lime,mint leaves,peanuts,spinach,milled flaxseeds,oats,Protein Balls,Vanilla Protein Balls,,vanilla protein balls,,,healthy_meal,energy_boost,breakfast,,Tropical_Fruit_Tailored.jpg,Tropical_Fruit_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Apple & Grapes,B,7.0,"Green apples, green grapes, spinach, avocado? Greenish.",uber-tasty with water or milk,"This is green. We take apples and mix with grapes, spinach (much nicer than kale). We add sliced avocado as it is full of good fats, our Yoggie Supergreens powder for max nutrients, and our homemade natural muesli for some crunch and sweetness. Plus our Protein Balls of course.",,Grapes are chock full of cancer-fighting polyphenols (antioxidants),"Avocado is rich in monounsaturated fats which help lower cholestrol and blood sugar, keeping you feeling energised through the day",,,"“Apples, Grapes, Spinach, Muesli, Vanilla Protein Balls, Protein Balls, Avocado, Chia, Greens powder, Raisins”",SuperGreens,497.6,117.7,2.8,0.8,15.2,9.5,2.2,8.2,0.0,green apple slices,green grapes,,,avocado,spinach,milled chia seeds,muesli,Protein Balls,Vanilla Protein Balls,,,,muesli,vanilla protein balls,SuperGreens,healthy_meal,energy_boost,breakfast,,Green_Apple_Grapes_Tailored.jpg,Green_Apple_Grapes_Tailored_logo.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
